,LCLid,energy(kWh/hh)
548,MAC002136,0
549,MAC002136,0
550,MAC002136,0
551,MAC002136,0
552,MAC002136,0
553,MAC002136,0
554,MAC002136,0
555,MAC002136,0
556,MAC002136,0
557,MAC002136,0
558,MAC002136,0
559,MAC002136,0
560,MAC002136,0
561,MAC002136,0
562,MAC002136,0
563,MAC002136,0
564,MAC002136,0
565,MAC002136,0
566,MAC002136,0
567,MAC002136,0
568,MAC002136,0
569,MAC002136,0
570,MAC002136,0
571,MAC002136,0
572,MAC002136,0
573,MAC002136,0
574,MAC002136,0
575,MAC002136,0
576,MAC002136,0
577,MAC002136,0
578,MAC002136,0
579,MAC002136,0
580,MAC002136,0
581,MAC002136,0
582,MAC002136,0
583,MAC002136,0
584,MAC002136,0
585,MAC002136,0
586,MAC002136,0
587,MAC002136,0
588,MAC002136,0
589,MAC002136,0
590,MAC002136,0
591,MAC002136,0
592,MAC002136,0
593,MAC002136,0
594,MAC002136,0
595,MAC002136,0
596,MAC002136,0
597,MAC002136,0
598,MAC002136,0
599,MAC002136,0
600,MAC002136,0
601,MAC002136,0
602,MAC002136,0
603,MAC002136,0
604,MAC002136,0
605,MAC002136,0
606,MAC002136,0
607,MAC002136,0
608,MAC002136,0
609,MAC002136,0
610,MAC002136,0
611,MAC002136,0
612,MAC002136,0
613,MAC002136,0
614,MAC002136,0
615,MAC002136,0
616,MAC002136,0
617,MAC002136,0
618,MAC002136,0
619,MAC002136,0
620,MAC002136,0
621,MAC002136,0
622,MAC002136,0
623,MAC002136,0
624,MAC002136,0
625,MAC002136,0
626,MAC002136,0
627,MAC002136,0
628,MAC002136,0
629,MAC002136,0
630,MAC002136,0
631,MAC002136,0
632,MAC002136,0
633,MAC002136,0
634,MAC002136,0
635,MAC002136,0
636,MAC002136,0
637,MAC002136,0
638,MAC002136,0
639,MAC002136,0
640,MAC002136,0
641,MAC002136,0
642,MAC002136,0
643,MAC002136,0
644,MAC002136,0
645,MAC002136,0
646,MAC002136,0
647,MAC002136,0
648,MAC002136,0
649,MAC002136,0
650,MAC002136,0
651,MAC002136,0
652,MAC002136,0
653,MAC002136,0
654,MAC002136,0
655,MAC002136,0
656,MAC002136,0
657,MAC002136,0
658,MAC002136,0
659,MAC002136,0
660,MAC002136,0
661,MAC002136,0
662,MAC002136,0
663,MAC002136,0
