tstp,CO
2018/1/20,0.5
2018/1/20,0.47
2018/1/20,0.43
2018/1/20,0.44
2018/1/20,0.48
2018/1/21,0.49
2018/1/21,0.4
2018/1/21,0.39
2018/1/21,0.41
2018/1/21,0.38
2018/1/21,0.35
2018/1/21,0.34
2018/1/21,0.34
2018/1/21,0.36
2018/1/21,0.38
2018/1/21,0.45
2018/1/21,0.48
2018/1/21,0.37
2018/1/21,0.33
2018/1/21,0.34
2018/1/21,0.33
2018/1/21,0.34
2018/1/21,0.35
2018/1/21,0.35
2018/1/21,0.34
2018/1/21,0.34
2018/1/21,0.34
2018/1/21,0.34
2018/1/21,0.34
2018/1/22,0.34
2018/1/22,0.28
2018/1/22,0.28
2018/1/22,0.3
2018/1/22,0.31
2018/1/22,0.33
2018/1/22,0.37
2018/1/22,0.47
2018/1/22,0.49
2018/1/22,0.47
2018/1/22,0.45
2018/1/22,0.47
2018/1/22,0.42
2018/1/22,0.37
2018/1/22,0.37
2018/1/22,0.37
2018/1/22,0.59
2018/1/22,0.6
2018/1/22,0.58
2018/1/22,0.56
2018/1/22,0.54
2018/1/22,0.53
2018/1/22,0.51
2018/1/22,0.47
2018/1/23,0.43
2018/1/23,0.37
2018/1/23,0.37
2018/1/23,0.35
2018/1/23,0.28
2018/1/23,0.28
2018/1/23,0.31
2018/1/23,0.42
2018/1/23,0.43
2018/1/23,0.32
2018/1/23,0.28
2018/1/23,0.26
2018/1/23,0.2
2018/1/23,0.18
2018/1/23,0.18
2018/1/23,0.2
2018/1/23,0.2
2018/1/23,0.26
2018/1/23,0.29
2018/1/23,0.29
2018/1/23,0.3
2018/1/23,0.32
2018/1/23,0.31
2018/1/23,0.29
2018/1/24,0.29
2018/1/24,0.26
2018/1/24,0.26
2018/1/24,0.25
2018/1/24,0.25
2018/1/24,0.26
2018/1/24,0.31
2018/1/24,0.44
2018/1/24,0.42
2018/1/24,0.37
2018/1/24,0.38
2018/1/24,0.44
2018/1/24,0.43
2018/1/24,0.37
2018/1/24,0.35
2018/1/24,0.34
2018/1/24,0.37
2018/1/24,0.44
2018/1/24,0.46
2018/1/24,0.51
2018/1/24,0.6
2018/1/24,0.53
2018/1/24,0.47
2018/1/24,0.4
2018/1/25,0.35
2018/1/25,0.35
2018/1/25,0.29
2018/1/25,0.3
2018/1/25,0.3
2018/1/25,0.3
2018/1/25,0.31
2018/1/25,0.37
2018/1/25,0.32
2018/1/25,0.32
2018/1/25,0.32
2018/1/25,0.32
2018/1/25,0.32
2018/1/25,0.32
2018/1/25,0.2
2018/1/25,0.19
2018/1/25,0.19
2018/1/25,0.23
2018/1/25,0.2
2018/1/25,0.2
2018/1/25,0.22
2018/1/25,0.23
2018/1/25,0.25
2018/1/25,0.24
2018/1/26,0.24
2018/1/26,0.25
2018/1/26,0.24
2018/1/26,0.23
2018/1/26,0.2
2018/1/26,0.19
2018/1/26,0.19
2018/1/26,0.23
2018/1/26,0.24
2018/1/26,0.24
2018/1/26,0.23
2018/1/26,0.22
2018/1/26,0.22
2018/1/26,0.22
2018/1/26,0.19
